jd,UT1_UTC,sigma,DeltaT
2458764.5,-151.9645,0.0068,69.3359645
2458765.5,-151.6533,0.0068,69.3356533
2458766.5,-151.4464,0.0067,69.3354464
2458767.5,-151.3803,0.0066,69.3353803
2458768.5,-151.4616,0.0066,69.3354616
2458769.5,-151.6517,0.0066,69.3356517
2458770.5,-151.912,0.0065,69.335912
2458771.5,-152.2347,0.0065,69.33623469999999
2458772.5,-152.5644,0.0065,69.3365644
2458773.5,-152.8796,0.0063,69.3368796
2458774.5,-153.1347,0.0063,69.337134699999993
2458775.5,-153.3264,0.0062,69.3373264
2458776.5,-153.4304,0.0062,69.3374304
2458777.5,-153.5058,0.0062,69.3375058
2458778.5,-153.6109,0.0061,69.3376109
2458779.5,-153.8184,0.0061,69.3378184
2458780.5,-154.2369,0.0061,69.3382369
2458781.5,-154.9119,0.006,69.3389119
2458782.5,-155.803,0.006,69.339803
2458783.5,-156.8092,0.006,69.3408092
2458784.5,-157.737,0.006,69.341737
2458785.5,-158.4615,0.0059,69.3424615
2458786.5,-158.924,0.0059,69.342924
2458787.5,-159.1496,0.0059,69.3431496
2458788.5,-159.2042,0.0059,69.3432042
2458789.5,-159.1866,0.0053,69.3431866
2458790.5,-159.1777,0.0053,69.3431777
2458791.5,-159.1947,0.0053,69.3431947
2458792.5,-159.2855,0.0052,69.3432855
2458793.5,-159.4469,0.0052,69.3434469
2458794.5,-159.7681,0.0051,69.34376809999999
2458795.5,-160.2407,0.0051,69.3442407
2458796.5,-160.8634,0.0051,69.3448634
2458797.5,-161.5582,0.0051,69.3455582
2458798.5,-162.2553,0.0051,69.3462553
2458799.5,-162.906,0.0051,69.346906
2458800.5,-163.4446,0.0051,69.3474446
2458801.5,-163.9065,0.005,69.3479065
2458802.5,-164.1833,0.005,69.3481833
2458803.5,-164.413,0.005,69.348413
2458804.5,-164.4598,0.0058,69.3484598
2458805.5,-164.5157,0.0059,69.3485157
2458806.5,-164.6587,0.006,69.3486587
2458807.5,-165.0096,0.0061,69.3490096
2458808.5,-165.5837,0.0062,69.3495837
2458809.5,-166.3471,0.0063,69.3503471
2458810.5,-167.2096,0.0064,69.3512096
2458811.5,-168.0878,0.0065,69.35208779999999
2458812.5,-168.8571,0.0066,69.3528571
2458813.5,-169.4622,0.0067,69.3534622
2458814.5,-170.1032,0.0068,69.3541032
2458815.5,-170.3945,0.007,69.3543945
2458816.5,-170.0077,0.0071,69.3540077
2458817.5,-170.019,0.0073,69.354019
2458818.5,-169.9998,0.0075,69.3539998
2458819.5,-170.0652,0.006,69.3540652
2458820.5,-170.2069,0.0061,69.3542069
2458821.5,-170.4075,0.0063,69.3544075
2458822.5,-170.6831,0.0064,69.3546831
2458823.5,-171.0324,0.0065,69.3550324
2458824.5,-171.4476,0.0067,69.35544759999999
2458825.5,-171.8773,0.0069,69.3558773
2458826.5,-172.2563,0.0072,69.3562563
2458827.5,-172.5299,0.0075,69.3565299
2458828.5,-172.6501,0.0077,69.3566501
2458829.5,-172.6192,0.0078,69.3566192
2458830.5,-172.4695,0.008,69.3564695
2458831.5,-172.2776,0.0083,69.3562776
2458832.5,-172.1003,0.0086,69.3561003
2458833.5,-171.9915,0.0088,69.3559915
2458834.5,-172.0193,0.009,69.3560193
2458835.5,-172.2457,0.0092,69.3562457
2458836.5,-172.703,0.0093,69.356703
2458837.5,-173.3419,0.0095,69.3573419
2458838.5,-174.0825,0.0097,69.3580825
2458839.5,-174.8044,0.01,69.3588044
2458840.5,-175.3803,0.0105,69.3593803
2458841.5,-175.7728,0.0108,69.3597728
2458842.5,-176.023,0.0111,69.360023
2458843.5,-176.1537,0.0113,69.3601537
2458844.5,-176.2146,0.0116,69.36021459999999
2458845.5,-176.2569,0.0119,69.3602569
2458846.5,-176.3366,0.0121,69.3603366
2458847.5,-176.4964,0.0124,69.3604964
2458848.5,-176.7594,0.0126,69.36075939999999
2458849.5,-177.1303,0.0128,69.3611303
2458850.5,-177.5806,0.0115,69.3615806
2458851.5,-178.1029,0.0115,69.3621029
2458852.5,-178.6507,0.0115,69.3626507
2458853.5,-179.1377,0.0112,69.3631377
2458854.5,-179.4674,0.0111,69.36346739999999
2458855.5,-179.6058,0.011,69.3636058
2458856.5,-179.5597,0.0109,69.3635597
2458857.5,-179.3746,0.0108,69.3633746
2458858.5,-179.1201,0.0101,69.3631201
2458859.5,-178.8961,0.0099,69.3628961
2458860.5,-178.8057,0.0092,69.3628057
2458861.5,-178.9353,0.0091,69.3629353
2458862.5,-179.3255,0.0089,69.3633255
2458863.5,-179.9543,0.0087,69.3639543
2458864.5,-180.7846,0.0086,69.3647846
2458865.5,-181.7437,0.0085,69.3657437
2458866.5,-182.7608,0.0081,69.3667608
2458867.5,-183.7339,0.008,69.36773389999999
2458868.5,-184.5425,0.0078,69.3685425
2458869.5,-185.2307,0.0077,69.3692307
2458870.5,-185.7979,0.0075,69.3697979
2458871.5,-186.1858,0.0074,69.3701858
2458872.5,-186.4849,0.0072,69.3704849
2458873.5,-186.798,0.0072,69.370798
2458874.5,-187.1883,0.0073,69.3711883
2458875.5,-187.6942,0.0073,69.3716942
2458876.5,-188.3288,0.0073,69.37232879999999
2458877.5,-189.0555,0.0073,69.37305549999999
2458878.5,-189.8021,0.0073,69.37380209999999
2458879.5,-190.5245,0.0073,69.37452449999999
2458880.5,-191.1724,0.0074,69.3751724
2458881.5,-191.7194,0.007,69.3757194
2458882.5,-192.1721,0.0071,69.37617209999999
2458883.5,-192.5141,0.0071,69.3765141
2458884.5,-192.7412,0.0073,69.3767412
2458885.5,-192.8644,0.0075,69.3768644
2458886.5,-192.9351,0.0078,69.3769351
2458887.5,-193.0242,0.0081,69.3770242
2458888.5,-193.2662,0.0084,69.3772662
2458889.5,-193.7899,0.0081,69.3777899
2458890.5,-194.5859,0.0083,69.3785859
2458891.5,-195.5386,0.0085,69.3795386
2458892.5,-196.53,0.0087,69.38053
2458893.5,-197.4312,0.0089,69.3814312
2458894.5,-198.1377,0.0092,69.3821377
2458895.5,-198.6185,0.0094,69.38261849999999
2458896.5,-198.9191,0.0096,69.3829191
2458897.5,-199.0725,0.0098,69.3830725
2458898.5,-199.1016,0.0101,69.3831016
2458899.5,-199.1206,0.0103,69.3831206
2458900.5,-199.2279,0.0104,69.3832279
2458901.5,-199.5108,0.0107,69.3835108
2458902.5,-199.9703,0.011,69.3839703
2458903.5,-200.5608,0.0112,69.3845608
2458904.5,-201.2483,0.0115,69.3852483
2458905.5,-201.9938,0.0118,69.3859938
2458906.5,-202.7625,0.012,69.3867625
2458907.5,-203.5264,0.0122,69.3875264
2458908.5,-204.2694,0.0125,69.3882694
2458909.5,-204.9668,0.0126,69.38896679999999
2458910.5,-205.593,0.0095,69.38959299999999
2458911.5,-206.1635,0.0094,69.3901635
2458912.5,-206.6763,0.0093,69.3906763
2458913.5,-207.1658,0.0092,69.3911658
2458914.5,-207.6964,0.0089,69.3916964
2458915.5,-208.3559,0.0087,69.3923559
2458916.5,-209.2279,0.0081,69.3932279
2458917.5,-210.3544,0.0077,69.3943544
2458918.5,-211.7167,0.0075,69.3957167
2458919.5,-213.229,0.0073,69.397229
2458920.5,-214.7503,0.0071,69.3987503
2458921.5,-216.1386,0.0069,69.40013859999999
2458922.5,-217.2921,0.0067,69.40129209999999
2458923.5,-218.1787,0.0062,69.4021787
2458924.5,-218.8244,0.006,69.4028244
2458925.5,-219.2893,0.0057,69.4032893
2458926.5,-219.6482,0.0056,69.40364819999999
2458927.5,-219.9551,0.0054,69.4039551
2458928.5,-220.2542,0.0053,69.4042542
2458929.5,-220.5675,0.0052,69.4045675
